,Start Date,Start Price,End Date,End Price,Weekly Returns,Bin Label,News,Basics
0,2023-12-31,101.50582122802734,2024-01-07,89.2763442993164,-0.12048054762532368,D5+,[],{}
1,2024-01-07,89.2763442993164,2024-01-14,94.13314056396484,0.05440182730113907,U5+,[],{}
2,2024-01-14,94.13314056396484,2024-01-21,90.84843444824219,-0.03489425823937797,D4,[],{}
3,2024-01-21,90.84843444824219,2024-01-28,95.93798065185547,0.05602238755707867,U5+,[],{}
4,2024-01-28,95.93798065185547,2024-02-04,95.47695922851562,-0.00480541095619702,D1,[],{}
5,2024-02-04,95.47695922851562,2024-02-11,107.49528503417969,0.12587671311252446,U5+,[],{}
6,2024-02-11,107.49528503417969,2024-02-18,112.17467498779297,0.04353111815206967,U5,[],{}
7,2024-02-18,112.17467498779297,2024-02-25,103.4534912109375,-0.07774645906310429,D5+,[],{}
8,2024-02-25,103.4534912109375,2024-03-03,130.45086669921875,0.2609614733371799,U5+,[],{}
9,2024-03-03,130.45086669921875,2024-03-10,144.5151824951172,0.10781312651855823,U5+,[],{}
10,2024-03-10,144.5151824951172,2024-03-17,202.12356567382812,0.3986320480940291,U5+,[],{}
11,2024-03-17,202.12356567382812,2024-03-24,183.57345581054688,-0.09177608658070102,D5+,[],{}
12,2024-03-24,183.57345581054688,2024-03-31,202.87413024902344,0.10513869967341805,U5+,[],{}
13,2024-03-31,202.87413024902344,2024-04-07,179.6498565673828,-0.11447626985822856,D5+,[],{}
14,2024-04-07,179.6498565673828,2024-04-14,151.28494262695312,-0.15788998935153964,D5+,[],{}
15,2024-04-14,151.28494262695312,2024-04-21,148.60931396484375,-0.01768602093274474,D2,[],{}
16,2024-04-21,148.60931396484375,2024-04-28,137.85641479492188,-0.07235683203857379,D5+,[],{}
17,2024-04-28,137.85641479492188,2024-05-05,145.71302795410156,0.0569912772711183,U5+,[],{}
18,2024-05-05,145.71302795410156,2024-05-12,143.52081298828125,-0.015044742372046782,D2,"[{""date"": ""20240509045535"", ""headline"": ""Don't Trust The Trust: A Look At Grayscale's Solana Trust"", ""summary"": ""Grayscale's Solana Trust offers investors indirect exposure to Solana. Click here to read why investors should buy SOL-USD if they want exposure to Solana.""}]",{}
19,2024-05-12,143.52081298828125,2024-05-19,170.0913543701172,0.18513371565143988,U5+,[],{}
20,2024-05-19,170.0913543701172,2024-05-26,163.3509063720703,-0.03962839865087864,D4,[],{}
21,2024-05-26,163.3509063720703,2024-06-02,163.24990844726562,-0.0006182881200220702,D1,"[{""date"": ""20240529084030"", ""headline"": ""OSOL: Your Gateway To Solana"", ""summary"": ""Osprey Solana Trust is the first U.S.-tradable ticker focused solely on Solana. Read more to see our analysis on OSOL.""}, {""date"": ""20240530115000"", ""headline"": ""Charting 2024's ETF Boom - Ether Entering The Arena?"", ""summary"": ""Amid a lack of Wall Street dealmaking this year, ETF issuers have been busy crafting new strategies.""}]",{}
22,2024-06-02,163.24990844726562,2024-06-09,162.08360290527344,-0.007144295228618369,D1,[],{}
23,2024-06-09,162.08360290527344,2024-06-16,151.12550354003906,-0.06760769855072024,D5+,"[{""date"": ""20240612090000"", ""headline"": ""Solana: An Improved Valuation Despite A 600% Rally"", ""summary"": """"}]",{}
24,2024-06-16,151.12550354003906,2024-06-23,128.59042358398438,-0.14911500327993454,D5+,[],{}
25,2024-06-23,128.59042358398438,2024-06-30,146.49249267578125,0.1392177472695295,U5+,"[{""date"": ""20240630134500"", ""headline"": ""Mid-Year Review: VanEck's 15 Crypto Predictions For 2024"", ""summary"": ""Scoreboard check! We've hit the mid-year mark of 2024, and it's time to tally up our top 15 Crypto Predictions for 2024. Click here to read more.""}]",{}
26,2024-06-30,146.49249267578125,2024-07-07,131.7740936279297,-0.1004720363413194,D5+,"[{""date"": ""20240630134500"", ""headline"": ""Mid-Year Review: VanEck's 15 Crypto Predictions For 2024"", ""summary"": ""Scoreboard check! We've hit the mid-year mark of 2024, and it's time to tally up our top 15 Crypto Predictions for 2024. Click here to read more.""}, {""date"": ""20240701152000"", ""headline"": ""Winter Follows Autumn"", ""summary"": ""Many investors have embraced the mythical soft landing scenario. But following bubble peaks, stocks don't just retreat from overvalued levels to fair value and stop dropping. Read more here.""}, {""date"": ""20240702095605"", ""headline"": ""Cryptos Look Ready To Turn Higher (Technical Analysis)"", ""summary"": ""Crypto markets are poised for a potential upward turn. Sentiment in crypto markets have been battered, and are close to September 2022 lows. Read more here.""}, {""date"": ""20240703043500"", ""headline"": ""The Sponsored Bull Market"", ""summary"": """"}]",{}
27,2024-07-07,131.7740936279297,2024-07-14,147.622314453125,0.12026810724984771,U5+,"[{""date"": ""20240709054500"", ""headline"": ""VanEck Crypto Monthly Recap For June 2024"", ""summary"": """"}, {""date"": ""20240712134500"", ""headline"": ""Bitcoin And Solana Lead The Rebound (Technical Analysis)"", ""summary"": ""Bitcoin\u00e2\u0080\u0099s recent price drop is its largest since late 2022, but the current downtrend appears shallower than previous cycles. Read more here.""}]",{}
28,2024-07-14,147.622314453125,2024-07-21,184.54161071777344,0.25009292396896776,U5+,"[{""date"": ""20240717100058"", ""headline"": ""GSOL: Fade The Trust, Long Solana"", ""summary"": ""GSOL's NAV rate premium nearing 800% and increasing illiquidity. Learn why the illiquidity of the fund foretells price declines in 2025 even if Solana's price increases.""}]",{}
29,2024-07-21,184.54161071777344,2024-07-28,184.88607788085938,0.001866609713365719,U1,[],{}
30,2024-07-28,184.88607788085938,2024-08-04,138.05508422851562,-0.2532964849983007,D5+,"[{""date"": ""20240731135700"", ""headline"": ""Ether ETFs Spotlight Crypto's Big Ask For Trump"", ""summary"": ""If Trump wins in November, loosening limitations on these crypto-for-the-masses products from Fidelity, BlackRock and their ilk seems an obvious target. Click to read.""}]",{}
31,2024-08-04,138.05508422851562,2024-08-11,141.52685546875,0.025147724617571754,U3,"[{""date"": ""20240808093500"", ""headline"": ""VanEck Crypto Monthly Recap For July 2024"", ""summary"": ""Before August\u00e2\u0080\u0099s bloodbath, Bitcoin rose 6% in July, while Ethereum lagged, facing ETH ETP outflows and fee revenue issues due to EIP-4844.Please note that...""}, {""date"": ""20240809092606"", ""headline"": ""Ripple: Long-Standing SEC Lawsuit Ends, What This Means For XRP (Rating Downgrade)"", ""summary"": ""Ripple gains a favorable outcome in its legal brawl with SEC, with slight ambiguity remains in using XRP in Ripple's on-demand liquidity service. Read more here.""}]",{}
32,2024-08-11,141.52685546875,2024-08-18,142.58688354492188,0.007489942969911789,U1,[],{}
33,2024-08-18,142.58688354492188,2024-08-25,158.90911865234375,0.11447220600960506,U5+,[],{}
34,2024-08-25,158.90911865234375,2024-09-01,128.6905517578125,-0.19016257311603657,D5+,[],{}
35,2024-09-01,128.6905517578125,2024-09-08,129.98951721191406,0.010093712680213862,U2,"[{""date"": ""20240906144900"", ""headline"": ""VanEck Crypto Monthly Recap For August 2024"", ""summary"": ""Most crypto assets fell sharply in August as fundamental usage and financial statistics slipped against the broader market backdrop of rising volatility. Click to read.""}]",{}
36,2024-09-08,129.98951721191406,2024-09-15,131.4993896484375,0.011615339982084638,U2,[],{}
37,2024-09-15,131.4993896484375,2024-09-22,144.80364990234375,0.10117355137141759,U5+,[],{}
38,2024-09-22,144.80364990234375,2024-09-29,158.62916564941406,0.09547767446742061,U5+,[],{}
39,2024-09-29,158.62916564941406,2024-10-06,146.44236755371094,-0.07682570885253936,D5+,"[{""date"": ""20241001093700"", ""headline"": ""The 'Everything Market' Could Last A While Longer"", ""summary"": ""We are currently in the 'everything market'. It doesn\u00e2\u0080\u0099t matter what you have probably invested in; it is currently increasing in value. Click to read.""}, {""date"": ""20241005112500"", ""headline"": ""VanEck Crypto Monthly Recap For September 2024"", ""summary"": ""Bitcoin reacted strongly to the Fed\u00e2\u0080\u0099s rate cut and China\u00e2\u0080\u0099s stimulus, rallying 7.7% and beating Gold (+5%), Ethereum (+3.2%), MSCI ACWI (+2.3%) and the S&P (+1.7%).""}]",{}
40,2024-10-06,146.44236755371094,2024-10-13,147.5724334716797,0.007716796285434757,U1,[],{}
41,2024-10-13,147.5724334716797,2024-10-20,166.9398193359375,0.13123986240949637,U5+,[],{}
42,2024-10-20,166.9398193359375,2024-10-27,176.5491943359375,0.0575619108623977,U5+,[],{}
43,2024-10-27,176.5491943359375,2024-11-03,162.55130004882812,-0.07928608419744021,D5+,"[{""date"": ""20241101080000"", ""headline"": ""A Look Back At Crypto ETFs"", ""summary"": ""Bitcoin interest has remained relatively high, and bitcoin prices have now reached over $70,000. This year has been one of the busiest in terms of crypto ETF launches. Read more here...""}, {""date"": ""20241103090000"", ""headline"": ""Bitcoin Vs. Gold: What Investors Should Know"", ""summary"": ""Gold is definitely driven by geopolitics says Florian Grummes, as well as de-dollarization. Ryan Wilday on Bitcoin's price action.""}]",{}
44,2024-11-03,162.55130004882812,2024-11-10,210.6137237548828,0.2956754187239192,U5+,"[{""date"": ""20241103090000"", ""headline"": ""Bitcoin Vs. Gold: What Investors Should Know"", ""summary"": ""Gold is definitely driven by geopolitics says Florian Grummes, as well as de-dollarization. Ryan Wilday on Bitcoin's price action.""}, {""date"": ""20241106034000"", ""headline"": ""VanEck Crypto Monthly Recap For October 2024"", ""summary"": ""Bitcoin outperformed all major crypto tokens and asset classes again in October. Read more here.""}, {""date"": ""20241106120414"", ""headline"": ""Solana Is A 'Trump Trade' Poised For The Next Crypto Market Era"", ""summary"": ""With Trump\u00e2\u0080\u0099s victory, a positive scenario could unfold for the crypto world, and Solana is showing strong momentum. Find out why SOL-USD stock is a Buy.""}]",{}
